"Timestamp","Which age group do you belong to?","Which OTT platform(s) are you currently subscribed to?","Which is your PRIMARY OTT subscription? (The one you use most)","How long have you been continuously subscribed to your primary platform?","What subscription plan are you currently on?","Approximately how much do you spend MONTHLY on your primary subscription?","How often do you actually use your primary subscription?","On a scale of 0-10, how likely are you to recommend your primary platform to a friend?","How satisfied are you with the CONTENT on your primary platform?","Do you feel you're getting good value for what you pay?","How likely are you to cancel your primary OTT subscription in the next 3 months?  ","Have you switched from one OTT service to another in the last 6 months?","What is the main reason for switching or cancelling the subscription?","Are you sharing your account with people outside your immediate household?","Are you aware of competing platforms offering better value?","Would you prefer bundled subscriptions (multiple platforms together) at a discount?","How do you pay for your subscription?","Any suggestions about your streaming experience?"
"2026/01/29 12:13:31 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Jio Cinema","Amazon Prime video","3-6 months","Mobile-only","₹200 - ₹500","Often","8","4","Neutral","Very unlikely","Yes, added new one but kept old","Found better alternative","Yes, with friends/relatives","No, satisfied with current","Maybe, depends on price","Monthly auto-renewal",""
"2026/01/29 12:13:39 pm GMT+5:30","18-35","Disney+ hotstar","Netflix","1-3 months","Standard","Less than ₹200","Often","7","4","Neutral","Very unlikely","No changes","Don't use it enough","Yes, with family","Yes, but not seriously considering","Maybe, depends on price","Family member pays",""
"2026/01/29 12:34:05 pm GMT+5:30","18-35","Netflix;Amazon Prime video","Amazon Prime video","More than 2 years","Standard","₹200 - ₹500","Daily","10","5","Excellent value","Very unlikely","Yes, added new one but kept old","Not enough new/interesting content","Yes, with friends/relatives","Yes, and actively considering switch","Yes, definitely","Using offers/discounts each time",""
"2026/01/29 12:37:48 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Sony LIV;Jio Cinema","Netflix","1-3 months","Mobile-only","Less than ₹200","Often","6","3","Neutral","Not sure","No changes","Too expensive / Price hike","No, only I use it","Yes, and actively considering switch","Yes, definitely","Monthly auto-renewal",""
"2026/01/29 12:42:33 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar;Jio Cinema;YouTube Premium","YouTube Premium","1-2 years","Mobile-only","Less than ₹200","Daily","10","5","Excellent value","Not sure","No changes","Not enough new/interesting content","Yes, with friends/relatives","Yes, but not seriously considering","Yes, definitely","Family member pays",""
"2026/01/29 12:49:57 pm GMT+5:30","18-35","Netflix;Disney+ hotstar","Disney+ Hotstar","1-2 years","Mobile-only","Less than ₹200","Rarely (once in 2-3 months)","10","3","Neutral","Not sure","Yes, dropped one but kept others","Not enough new/interesting content","I'm using someone else's account","Yes, but not seriously considering","Maybe, depends on price","Annual payment",""
"2026/01/29 2:10:19 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","1-3 months","Premium","₹501 - ₹1000","Often","3","2","Poor value","Very unlikely","Yes, added new one but kept old","Too expensive / Price hike","No, only I use it","Yes, and actively considering switch","Maybe, depends on price","Pay as you go (monthly manual)",""
"2026/01/29 2:17:02 pm GMT+5:30","Under 18","YouTube Premium;","Jio Cinema","6-12 months","Mobile-only","Less than ₹200","Daily","0","1","Poor value","Very unlikely","Yes, added new one but kept old","Found better alternative","Yes, with family","Yes, and actively considering switch","Yes, definitely","Monthly auto-renewal",""
"2026/01/29 2:25:09 pm GMT+5:30","18-35","Netflix;Amazon Prime video;Disney+ hotstar","Disney+ Hotstar","6-12 months","Standard","Less than ₹200","Often","7","4","Neutral","Not sure","Yes, added new one but kept old","Not enough new/interesting content","I'm using someone else's account","Yes, but not seriously considering","Maybe, depends on price","Monthly auto-renewal","Excellent content and add free content which saves time "
"2026/01/29 6:26:06 pm GMT+5:30","18-35","Netflix","Amazon Prime video","6-12 months","Premium","₹501 - ₹1000","Often","9","4","Neutral","Not sure","Yes, added new one but kept old","Don't use it enough","No, only I use it","Yes, but not seriously considering","Maybe, depends on price","Annual payment",""
